HolidayDate,Description,Year
2020-01-26,Republic Day,2020
2020-03-10,Holi ,2020
2020-04-06,Mahavir jayanti,2020
2020-04-10,Good Friday,2020
2020-05-01,Maharashtra Day,2020
2020-05-25,EID,2020
